Term	Definition
32-bit versus 64-bit	32-bit versus 64-bit refers to the maximum size of an instruction that the CPU can process.
8.3 Filenames	The 8.3 filenames file-naming standard began with Microsoft DOS in 1981 and consisted of an eight-character ASCII name followed by a three-character file extension. Modern operating systems support long filenames, but Windows can also generate a short filename based on DOS 8.3 naming rules for compatibility with much older applications.
Access Control List (ACL)	The ACL specifies the user accounts and host IP addresses that can access a site and specifies the privileges allowed for the account or program accessing the site.
Access Point (AP)	An AP, such as a router, provides connectivity between wireless devices and a cabled network. Access points that provide Internet connectivity located in grocery stores, shops, restaurants, libraries, airports, and medical facilities are often referred to as hotspots.
Active Partition	The primary partition is the active, bootable partition.
Adapter Card	Adapter card circuit boards provide additional video, sound, and communication.
Advanced Micro Device (AMD)	An AMD is a CPU manufacturer that sells K6, Athlon 64, and Opteron branded chips.
Advanced RISC Machine (ARM)	An ARM is a designer of CPU and chip set architectures for mobile devices based on the Reduced Instruction Set Computing (RISC). RISC microarchitectures process simple instructions fast.
Airplane Mode	Airplane mode is accessed using the toggle or slider user interface button on mobile devices. It quickly disables and enables wireless connectivity and cellular access.
Android	Android is an open source operating system built for mobile devices developed by the Open Handset Alliance and primarily sponsored by Google.
Antivirus Software	The goal of antivirus software is to detect and remove virus infections and most malware. Antivirus software identifies malware code (signatures) and detects suspicious behavior (heuristics). Antivirus software requires frequent updating.
Apple	Apple is a company that manufactures desktops, laptops, all-in ones, tablets, phones and other related peripheral devices and software. Apple computers use macOS, built on UNIX, and use Apple-native apps or third-party developer apps built to run on the macOS platform.
Audio Card	Audio cards are adapter cards that enable computers to record and play sound.
Audio Port	Audio ports, usually located at the edge of the motherboard, provide a connection to the cable to support audio in, speaker out, microphone input, and headphones.
Authentication	Authentication is a method for users to prove who they are. Methods include specifying a username and password, smart cards, biometrics, and additional techniques such as two-factor authentication.
Availability	Availability is the balance of implementing security measures that protect resources from loss, damage, or DoS attacks, and providing users with methods to recover access to their devices.
Backup	A backup is a copy of data stored for use in case of a system failure. Backups help prevent loss of work.
Battery	A battery is a power source for computing devices, typically rechargeable Lithium-ion (Li-ion) batteries of differing capacities. Computers use coin cell batteries to power their CMOS RAM.
Binary	Binary is a notational system with two values per digit, zero and one.
Biometric	Biometric identification is the use of physically identifying features as security authentication to access a device, software application, or website.
Bit	A bit, the smallest measurable computer value is a single digit with two values, zero and one.
Bits per Second (bps)	Bits per second is a data rate measurement used to describe data transfer speeds.
Bluetooth	Bluetooth is a short-range, radio-based technology that works at up to 10m (30 feet) at up to 1 Mbps connecting computing devices with peripherals.
Blu-ray	Blu-ray is optical drive technology with disc capacity of 25 GB per layer. Transfer rates are measured in multiples of 36 MBps.
Boolean	Boolean is a data type that supports 1-bit storage, representing the values of true and false. Boolean logic is a statement that uses true and false conditions. Boolean logic supports the branching and looping features in computer code.
Boot Partition	The boot partition, or system partition, for both Apple and Windows devices is the partitioned part of the hard drive that contains the Microsoft Windows operating system.
Browser	A web browser is software designed to view HTML pages that runs plug-in applications to enable the use of file formats including PDFs, sound, and video.
Bus	A bus is the physical connection between motherboard components and peripheral devices attached to the computer. A bus’s capabilities include data sharing, memory addressing, and suppling power to the port. Common bus types include PCI, PCI Express, ExpressCard, and USB.
Byte	A byte is the value of eight bits.
